mqtt.js:7 {1: 0, 2: 1, 3: 2, 4: 3, 5: 4, 6: 5}
mqtt.js:15 6 1684347516337 {id: '6', acc_x: -23.77681732, acc_y: -9.794678688, acc_z: -0.778115571, rot_x: 0.058888208, …}
mqtt.js:15 6 1684347516377 {id: '6', acc_x: -23.76724052, acc_y: -9.789890289, acc_z: -0.794874966, rot_x: 0.058621746, …}
mqtt.js:15 4 1684347516378 {id: '4', acc_x: 35.95611954, acc_y: -78.45320129, acc_z: 78.45080566, rot_x: 0.124437973, …}
mqtt.js:15 6 1684347516418 {id: '6', acc_x: -23.7744236, acc_y: -9.789890289, acc_z: -0.799663365, rot_x: 0.057289433, …}
mqtt.js:15 4 1684347516419 {id: '4', acc_x: 36.15962982, acc_y: -78.45320129, acc_z: 78.45080566, rot_x: 0.125503823, …}
mqtt.js:15 6 1684347516474 {id: '6', acc_x: -23.7648468, acc_y: -9.789890289, acc_z: -0.802057564, rot_x: 0.056223582, …}
mqtt.js:15 4 1684347516478 {id: '4', acc_x: 35.69754791, acc_y: -78.45320129, acc_z: 78.45080566, rot_x: 0.126569673, …}
mqtt.js:15 6 1684347516530 {id: '6', acc_x: -23.76005745, acc_y: -9.782708168, acc_z: -0.787692368, rot_x: 0.056223582, …}
mqtt.js:15 4 1684347516530 {id: '4', acc_x: 36.20990753, acc_y: -78.45320129, acc_z: 78.45080566, rot_x: 0.126303226, …}
mqtt.js:15 1 1684347516574 {id: '1', acc_x: 28.89801407, acc_y: -78.45320129, acc_z: 4.225766182, rot_x: 0.113513015, …}
mqtt.js:15 6 1684347516582 {id: '6', acc_x: -23.76005745, acc_y: -9.787496567, acc_z: -0.792480767, rot_x: 0.057022974, …}
mqtt.js:15 2 1684347516591 {id: '2', acc_x: 0.035913024, acc_y: 0.325611442, acc_z: 9.581595421, rot_x: -0.027179174, …}
mqtt.js:15 3 1684347516625 {id: '3', acc_x: 0, acc_y: 0, acc_z: 0, rot_x: 0, …}
mqtt.js:15 6 1684347516640 {id: '6', acc_x: -23.76724052, acc_y: -9.794678688, acc_z: -0.797269166, rot_x: 0.057022974, …}
mqtt.js:15 3 1684347516667 {id: '3', acc_x: 0, acc_y: 0, acc_z: 0, rot_x: 0, …}
mqtt.js:15 6 1684347516696 {id: '6', acc_x: -23.76245117, acc_y: -9.785101891, acc_z: -0.787692368, rot_x: 0.056223582, …}
mqtt.js:15 3 1684347516741 {id: '3', acc_x: 0, acc_y: 0, acc_z: 0, rot_x: 0, …}
mqtt.js:15 6 1684347516748 {id: '6', acc_x: -23.76724052, acc_y: -9.792284966, acc_z: -0.797269166, rot_x: 0.05489127, …}
mqtt.js:15 3 1684347516774 {id: '3', acc_x: 0, acc_y: 0, acc_z: 0, rot_x: 0, …}
mqtt.js:15 6 1684347516812 {id: '6', acc_x: -23.7744236, acc_y: -9.801861763, acc_z: -0.802057564, rot_x: 0.054358348, …}
mqtt.js:15 3 1684347516837 {id: '3', acc_x: 0, acc_y: 0, acc_z: 0, rot_x: 0, …}
mqtt.js:15 6 1684347516873 {id: '6', acc_x: -23.76245117, acc_y: -9.794678688, acc_z: -0.802057564, rot_x: 0.05489127, …}
mqtt.js:15 4 1684347516888 {id: '4', acc_x: 36.23384857, acc_y: -78.45320129, acc_z: 78.45080566, rot_x: 0.128701374, …}
mqtt.js:15 6 1684347516915 {id: '6', acc_x: -23.76963425, acc_y: -9.785101891, acc_z: -0.804451764, rot_x: 0.056490045, …}
mqtt.js:15 1 1684347516915 {id: '1', acc_x: 28.90998459, acc_y: -78.45320129, acc_z: 4.23294878, rot_x: 0.108183771, …}
mqtt.js:15 2 1684347516936 {id: '2', acc_x: 0.023942016, acc_y: 0.313640416, acc_z: 9.572018623, rot_x: -0.024781011, …}
mqtt.js:15 6 1684347516968 {id: '6', acc_x: -23.7744236, acc_y: -9.794678688, acc_z: -0.794874966, rot_x: 0.056490045, …}
mqtt.js:15 2 1684347516992 {id: '2', acc_x: 0.009576807, acc_y: 0.306457818, acc_z: 9.569623947, rot_x: -0.023448698, …}
mqtt.js:15 6 1684347517031 {id: '6', acc_x: -23.75527, acc_y: -9.801861763, acc_z: -0.797269166, rot_x: 0.055157732, …}
mqtt.js:15 2 1684347517046 {id: '2', acc_x: 0.019153614, acc_y: 0.318428814, acc_z: 9.588777542, rot_x: -0.023715161, …}
mqtt.js:15 6 1684347517078 {id: '6', acc_x: -23.76245117, acc_y: -9.806650162, acc_z: -0.799663365, rot_x: 0.055424199, …}
mqtt.js:15 2 1684347517102 {id: '2', acc_x: 0.011971008, acc_y: 0.306457818, acc_z: 9.579200745, rot_x: -0.023981623, …}
mqtt.js:15 6 1684347517138 {id: '6', acc_x: -23.7648468, acc_y: -9.797073364, acc_z: -0.785298169, rot_x: 0.054624807, …}
mqtt.js:15 2 1684347517162 {id: '2', acc_x: 0.007182605, acc_y: 0.313640416, acc_z: 9.569623947, rot_x: -0.023981623, …}
mqtt.js:15 3 1684347517186 {id: '3', acc_x: 0, acc_y: 0, acc_z: 0, rot_x: 0, …}
mqtt.js:15 6 1684347517189 {id: '6', acc_x: -23.75766373, acc_y: -9.794678688, acc_z: -0.792480767, rot_x: 0.054624807, …}
mqtt.js:15 6 1684347517247 {id: '6', acc_x: -23.76005745, acc_y: -9.794678688, acc_z: -0.785298169, rot_x: 0.054624807, …}
mqtt.js:15 1 1684347517256 {id: '1', acc_x: 28.95547485, acc_y: -78.45320129, acc_z: 4.230554581, rot_x: 0.111647777, …}
mqtt.js:15 6 1684347517299 {id: '6', acc_x: -23.76963425, acc_y: -9.794678688, acc_z: -0.790086567, rot_x: 0.05489127, …}
mqtt.js:15 1 1684347517309 {id: '1', acc_x: 28.95068741, acc_y: -78.45320129, acc_z: 4.228160381, rot_x: 0.110315464, …}
mqtt.js:15 6 1684347517353 {id: '6', acc_x: -23.75766373, acc_y: -9.794678688, acc_z: -0.785298169, rot_x: 0.05489127, …}
mqtt.js:15 1 1684347517366 {id: '1', acc_x: 28.97462845, acc_y: -78.45320129, acc_z: 4.235342979, rot_x: 0.109249614, …}
mqtt.js:15 6 1684347517411 {id: '6', acc_x: -23.76005745, acc_y: -9.794678688, acc_z: -0.799663365, rot_x: 0.054358348, …}
mqtt.js:15 1 1684347517420 {id: '1', acc_x: 28.96505165, acc_y: -78.45320129, acc_z: 4.216189384, rot_x: 0.109782539, …}
mqtt.js:15 6 1684347517470 {id: '6', acc_x: -23.76245117, acc_y: -9.797073364, acc_z: -0.792480767, rot_x: 0.054358348, …}
mqtt.js:15 1 1684347517488 {id: '1', acc_x: 28.96265793, acc_y: -78.45320129, acc_z: 4.220977783, rot_x: 0.109782539, …}
mqtt.js:15 6 1684347517518 {id: '6', acc_x: -23.74329758, acc_y: -9.794678688, acc_z: -0.799663365, rot_x: 0.054358348, …}
mqtt.js:15 3 1684347517532 {id: '3', acc_x: 0, acc_y: 0, acc_z: 0, rot_x: 0, …}
mqtt.js:15 6 1684347517575 {id: '6', acc_x: -23.75766373, acc_y: -9.804255486, acc_z: -0.794874966, rot_x: 0.053026035, …}
mqtt.js:15 4 1684347517591 {id: '4', acc_x: 35.55628967, acc_y: -78.45320129, acc_z: 78.45080566, rot_x: 0.127369061, …}
mqtt.js:15 6 1684347517628 {id: '6', acc_x: -23.7648468, acc_y: -9.792284966, acc_z: -0.794874966, rot_x: 0.051960181, …}
mqtt.js:15 4 1684347517646 {id: '4', acc_x: 34.65607071, acc_y: -78.45320129, acc_z: 78.45080566, rot_x: 0.127635539, …}
mqtt.js:15 6 1684347517683 {id: '6', acc_x: -23.75287437, acc_y: -9.801861763, acc_z: -0.794874966, rot_x: 0.051693719, …}
mqtt.js:15 4 1684347517701 {id: '4', acc_x: 34.0958252, acc_y: -78.45320129, acc_z: 78.45080566, rot_x: 0.127635539, …}
mqtt.js:15 6 1684347517743 {id: '6', acc_x: -23.75048065, acc_y: -9.799467087, acc_z: -0.797269166, rot_x: 0.05249311, …}
mqtt.js:15 4 1684347517765 {id: '4', acc_x: 35.48207092, acc_y: -78.45320129, acc_z: 78.45080566, rot_x: 0.126303226, …}
mqtt.js:15 6 1684347517796 {id: '6', acc_x: -23.75766373, acc_y: -9.797073364, acc_z: -0.802057564, rot_x: 0.05249311, …}
mqtt.js:15 2 1684347517819 {id: '2', acc_x: 0.050278235, acc_y: 0.316034615, acc_z: 9.574412346, rot_x: -0.02158346, …}
mqtt.js:15 1 1684347517833 {id: '1', acc_x: 28.96265793, acc_y: -78.45320129, acc_z: 4.235342979, rot_x: 0.110848397, …}
mqtt.js:15 6 1684347517849 {id: '6', acc_x: -23.74569321, acc_y: -9.799467087, acc_z: -0.799663365, rot_x: 0.051160797, …}
mqtt.js:15 3 1684347517877 {id: '3', acc_x: 0, acc_y: 0, acc_z: 0, rot_x: 0, …}
mqtt.js:15 6 1684347517906 {id: '6', acc_x: -23.75287437, acc_y: -9.799467087, acc_z: -0.792480767, rot_x: 0.050094947, …}
mqtt.js:15 3 1684347517931 {id: '3', acc_x: 0, acc_y: 0, acc_z: 0, rot_x: 0, …}
mqtt.js:15 6 1684347517963 {id: '6', acc_x: -23.74808693, acc_y: -9.792284966, acc_z: -0.782903969, rot_x: 0.049562022, …}
mqtt.js:15 3 1684347517985 {id: '3', acc_x: 0, acc_y: 0, acc_z: 0, rot_x: 0, …}
mqtt.js:15 6 1684347518012 {id: '6', acc_x: -23.74329758, acc_y: -9.789890289, acc_z: -0.802057564, rot_x: 0.049295556, …}
mqtt.js:15 3 1684347518040 {id: '3', acc_x: 0, acc_y: 0, acc_z: 0, rot_x: 0, …}
mqtt.js:15 6 1684347518068 {id: '6', acc_x: -23.75048065, acc_y: -9.797073364, acc_z: -0.792480767, rot_x: 0.051160797, …}
mqtt.js:15 3 1684347518104 {id: '3', acc_x: 0, acc_y: 0, acc_z: 0, rot_x: 0, …}
mqtt.js:15 4 1684347518119 {id: '4', acc_x: 36.36074066, acc_y: -78.45320129, acc_z: 78.45080566, rot_x: 0.125770286, …}
mqtt.js:15 6 1684347518124 {id: '6', acc_x: -23.7648468, acc_y: -9.797073364, acc_z: -0.794874966, rot_x: 0.05142726, …}
mqtt.js:15 6 1684347518180 {id: '6', acc_x: -23.75287437, acc_y: -9.804255486, acc_z: -0.794874966, rot_x: 0.051160797, …}
mqtt.js:15 1 1684347518182 {id: '1', acc_x: 28.97223473, acc_y: -78.45320129, acc_z: 4.223371983, rot_x: 0.110049009, …}
mqtt.js:15 6 1684347518232 {id: '6', acc_x: -23.76005745, acc_y: -9.801861763, acc_z: -0.794874966, rot_x: 0.049029093, …}
mqtt.js:15 2 1684347518249 {id: '2', acc_x: 0.076614454, acc_y: 0.318428814, acc_z: 9.572018623, rot_x: -0.029577335, …}
mqtt.js:15 6 1684347518288 {id: '6', acc_x: -23.77921104, acc_y: -9.789890289, acc_z: -0.797269166, rot_x: 0.048762634, …}
mqtt.js:15 2 1684347518306 {id: '2', acc_x: 0.081402861, acc_y: 0.313640416, acc_z: 9.581595421, rot_x: -0.028511487, …}
mqtt.js:15 6 1684347518346 {id: '6', acc_x: -23.76245117, acc_y: -9.797073364, acc_z: -0.797269166, rot_x: 0.049562022, …}
mqtt.js:15 2 1684347518368 {id: '2', acc_x: 0.071826048, acc_y: 0.330399841, acc_z: 9.58638382, rot_x: -0.028511487, …}
mqtt.js:15 2 1684347518425 {id: '2', acc_x: 0.074220255, acc_y: 0.318428814, acc_z: 9.588777542, rot_x: -0.029310873, …}
mqtt.js:15 2 1684347518514 {id: '2', acc_x: 0.074220255, acc_y: 0.311246216, acc_z: 9.581595421, rot_x: -0.02904441, …}
mqtt.js:15 2 1684347518519 {id: '2', acc_x: 0.079008654, acc_y: 0.318428814, acc_z: 9.567230225, rot_x: -0.027445635, …}
mqtt.js:15 6 1684347518539 {id: '6', acc_x: -23.76005745, acc_y: -9.794678688, acc_z: -0.794874966, rot_x: 0.05142726, …}
mqtt.js:15 6 1684347518539 {id: '6', acc_x: -23.7744236, acc_y: -9.799467087, acc_z: -0.794874966, rot_x: 0.051960181, …}
mqtt.js:15 6 1684347518540 {id: '6', acc_x: -23.77202797, acc_y: -9.801861763, acc_z: -0.792480767, rot_x: 0.051693719, …}
mqtt.js:15 4 1684347518551 {id: '4', acc_x: 36.67677689, acc_y: -78.45320129, acc_z: 78.45080566, rot_x: 0.125237361, …}
mqtt.js:15 6 1684347518565 {id: '6', acc_x: -23.7648468, acc_y: -9.792284966, acc_z: -0.797269166, rot_x: 0.051960181, …}
mqtt.js:15 3 1684347518566 {id: '3', acc_x: 0, acc_y: 0, acc_z: 0, rot_x: 0, …}
mqtt.js:15 6 1684347518624 {id: '6', acc_x: -23.77202797, acc_y: -9.794678688, acc_z: -0.794874966, rot_x: 0.053558957, …}
mqtt.js:15 3 1684347518624 {id: '3', acc_x: 0, acc_y: 0, acc_z: 0, rot_x: 0, …}
mqtt.js:15 6 1684347518671 {id: '6', acc_x: -23.77202797, acc_y: -9.794678688, acc_z: -0.802057564, rot_x: 0.054358348, …}
mqtt.js:15 3 1684347518672 {id: '3', acc_x: 0, acc_y: 0, acc_z: 0, rot_x: 0, …}
mqtt.js:15 6 1684347518726 {id: '6', acc_x: -23.77681732, acc_y: -9.792284966, acc_z: -0.782903969, rot_x: 0.055157732, …}
mqtt.js:15 3 1684347518726 {id: '3', acc_x: 0, acc_y: 0, acc_z: 0, rot_x: 0, …}
mqtt.js:15 3 1684347518797 {id: '3', acc_x: 0, acc_y: 0, acc_z: 0, rot_x: 0, …}
mqtt.js:15 6 1684347518798 {id: '6', acc_x: -23.77202797, acc_y: -9.792284966, acc_z: -0.797269166, rot_x: 0.05489127, …}
mqtt.js:15 6 1684347519337 {id: '6', acc_x: -23.77202797, acc_y: -9.797073364, acc_z: -0.794874966, rot_x: 0.055690661, …}
mqtt.js:15 3 1684347519338 {id: '3', acc_x: 0, acc_y: 0, acc_z: 0, rot_x: 0, …}
mqtt.js:15 6 1684347519338 {id: '6', acc_x: -23.77202797, acc_y: -9.797073364, acc_z: -0.790086567, rot_x: 0.057022974, …}
mqtt.js:15 3 1684347519338 {id: '3', acc_x: 0, acc_y: 0, acc_z: 0, rot_x: 0, …}
mqtt.js:15 6 1684347519338 {id: '6', acc_x: -23.76724052, acc_y: -9.797073364, acc_z: -0.792480767, rot_x: 0.058888208, …}
mqtt.js:15 6 1684347519338 {id: '6', acc_x: -23.76963425, acc_y: -9.794678688, acc_z: -0.797269166, rot_x: 0.059154671, …}
mqtt.js:15 6 1684347519338 {id: '6', acc_x: -23.76963425, acc_y: -9.789890289, acc_z: -0.799663365, rot_x: 0.059154671, …}
mqtt.js:15 6 1684347519339 {id: '6', acc_x: -23.76963425, acc_y: -9.787496567, acc_z: -0.797269166, rot_x: 0.059154671, …}
mqtt.js:15 6 1684347519339 {id: '6', acc_x: -23.7648468, acc_y: -9.787496567, acc_z: -0.804451764, rot_x: 0.059421133, …}
mqtt.js:15 3 1684347519339 {id: '3', acc_x: 0, acc_y: 0, acc_z: 0, rot_x: 0, …}
mqtt.js:15 6 1684347519339 {id: '6', acc_x: -23.77202797, acc_y: -9.797073364, acc_z: -0.782903969, rot_x: 0.061019909, …}
mqtt.js:15 3 1684347519339 {id: '3', acc_x: 0, acc_y: 0, acc_z: 0, rot_x: 0, …}
mqtt.js:15 3 1684347519339 {id: '3', acc_x: 0, acc_y: 0, acc_z: 0, rot_x: 0, …}
mqtt.js:15 3 1684347519339 {id: '3', acc_x: 0, acc_y: 0, acc_z: 0, rot_x: 0, …}
mqtt.js:15 3 1684347519339 {id: '3', acc_x: 0, acc_y: 0, acc_z: 0, rot_x: 0, …}
mqtt.js:15 3 1684347519339 {id: '3', acc_x: 0, acc_y: 0, acc_z: 0, rot_x: 0, …}
mqtt.js:15 6 1684347519714 {id: '6', acc_x: -23.7744236, acc_y: -9.799467087, acc_z: -0.811634362, rot_x: 0.060220521, …}
mqtt.js:15 6 1684347519714 {id: '6', acc_x: -23.75527, acc_y: -9.801861763, acc_z: -0.806845963, rot_x: 0.059154671, …}
mqtt.js:15 6 1684347519715 {id: '6', acc_x: -23.77681732, acc_y: -9.794678688, acc_z: -0.787692368, rot_x: 0.059154671, …}
mqtt.js:15 6 1684347519715 {id: '6', acc_x: -23.77921104, acc_y: -9.785101891, acc_z: -0.797269166, rot_x: 0.059954058, …}
mqtt.js:15 6 1684347519715 {id: '6', acc_x: -23.7648468, acc_y: -9.801861763, acc_z: -0.797269166, rot_x: 0.061019909, …}
mqtt.js:15 6 1684347519715 {id: '6', acc_x: -23.75527, acc_y: -9.797073364, acc_z: -0.809240162, rot_x: 0.060753446, …}
mqtt.js:15 6 1684347519902 {id: '6', acc_x: -23.7648468, acc_y: -9.804255486, acc_z: -0.802057564, rot_x: 0.05808882, …}
mqtt.js:15 4 1684347519903 {id: '4', acc_x: 35.68796921, acc_y: -78.45320129, acc_z: 78.45080566, rot_x: 0.127901986, …}
mqtt.js:15 6 1684347519903 {id: '6', acc_x: -23.75048065, acc_y: -9.797073364, acc_z: -0.797269166, rot_x: 0.057289433, …}
mqtt.js:15 6 1684347519903 {id: '6', acc_x: -23.75287437, acc_y: -9.809044838, acc_z: -0.802057564, rot_x: 0.057555895, …}
mqtt.js:15 6 1684347519903 {id: '6', acc_x: -23.7648468, acc_y: -9.792284966, acc_z: -0.797269166, rot_x: 0.058621746, …}
mqtt.js:15 6 1684347519903 {id: '6', acc_x: -23.75527, acc_y: -9.806650162, acc_z: -0.804451764, rot_x: 0.058355279, …}
mqtt.js:15 4 1684347519903 {id: '4', acc_x: 35.18040085, acc_y: -78.45320129, acc_z: 78.45080566, rot_x: 0.127369061, …}
mqtt.js:15 4 1684347519904 {id: '4', acc_x: 35.29292679, acc_y: -78.45320129, acc_z: 78.45080566, rot_x: 0.127901986, …}
mqtt.js:15 4 1684347519904 {id: '4', acc_x: 35.45812607, acc_y: -78.45320129, acc_z: 78.45080566, rot_x: 0.128967836, …}
mqtt.js:15 4 1684347519904 {id: '4', acc_x: 36.17160034, acc_y: -78.45320129, acc_z: 78.45080566, rot_x: 0.128701374, …}
mqtt.js:15 4 1684347519904 {id: '4', acc_x: 36.71029282, acc_y: -78.45320129, acc_z: 78.45080566, rot_x: 0.128168449, …}
mqtt.js:15 4 1684347519912 {id: '4', acc_x: 36.34158707, acc_y: -78.45320129, acc_z: 78.45080566, rot_x: 0.128168449, …}
mqtt.js:15 6 1684347519914 {id: '6', acc_x: -23.75527, acc_y: -9.801861763, acc_z: -0.802057564, rot_x: 0.056490045, …}
mqtt.js:15 6 1684347519916 {id: '6', acc_x: -23.75048065, acc_y: -9.797073364, acc_z: -0.806845963, rot_x: 0.05489127, …}
mqtt.js:15 4 1684347520073 {id: '4', acc_x: 36.5307312, acc_y: -78.45320129, acc_z: 78.45080566, rot_x: 0.129234299, …}
mqtt.js:15 6 1684347520075 {id: '6', acc_x: -23.75048065, acc_y: -9.801861763, acc_z: -0.794874966, rot_x: 0.054624807, …}
mqtt.js:15 4 1684347520265 {id: '4', acc_x: 35.86035156, acc_y: -78.45320129, acc_z: 78.45080566, rot_x: 0.129234299, …}
mqtt.js:15 6 1684347520265 {id: '6', acc_x: -23.75048065, acc_y: -9.797073364, acc_z: -0.804451764, rot_x: 0.05595712, …}
mqtt.js:15 4 1684347520266 {id: '4', acc_x: 36.47805786, acc_y: -78.45320129, acc_z: 78.45080566, rot_x: 0.128701374, …}
mqtt.js:15 4 1684347520266 {id: '4', acc_x: 36.79888153, acc_y: -78.45320129, acc_z: 78.45080566, rot_x: 0.128701374, …}
mqtt.js:15 6 1684347520266 {id: '6', acc_x: -23.74808693, acc_y: -9.797073364, acc_z: -0.802057564, rot_x: 0.05595712, …}
mqtt.js:15 4 1684347520266 {id: '4', acc_x: 37.34236526, acc_y: -78.45320129, acc_z: 78.45080566, rot_x: 0.129767224, …}
mqtt.js:15 6 1684347520266 {id: '6', acc_x: -23.75048065, acc_y: -9.799467087, acc_z: -0.799663365, rot_x: 0.054624807, …}
mqtt.js:15 3 1684347520279 {id: '3', acc_x: 0, acc_y: 0, acc_z: 0, rot_x: 0, …}
mqtt.js:15 3 1684347520426 {id: '3', acc_x: 0, acc_y: 0, acc_z: 0, rot_x: 0, …}
mqtt.js:15 3 1684347520624 {id: '3', acc_x: 0, acc_y: 0, acc_z: 0, rot_x: 0, …}
mqtt.js:15 3 1684347520624 {id: '3', acc_x: 0, acc_y: 0, acc_z: 0, rot_x: 0, …}
mqtt.js:15 6 1684347520624 {id: '6', acc_x: -23.75766373, acc_y: -9.801861763, acc_z: -0.797269166, rot_x: 0.053292494, …}
mqtt.js:15 6 1684347520624 {id: '6', acc_x: -23.76245117, acc_y: -9.804255486, acc_z: -0.802057564, rot_x: 0.054091886, …}
mqtt.js:15 6 1684347520624 {id: '6', acc_x: -23.75527, acc_y: -9.799467087, acc_z: -0.797269166, rot_x: 0.05489127, …}
mqtt.js:15 6 1684347520624 {id: '6', acc_x: -23.75527, acc_y: -9.794678688, acc_z: -0.794874966, rot_x: 0.057022974, …}
mqtt.js:15 6 1684347520625 {id: '6', acc_x: -23.76005745, acc_y: -9.782708168, acc_z: -0.794874966, rot_x: 0.05489127, …}
mqtt.js:15 6 1684347520625 {id: '6', acc_x: -23.75527, acc_y: -9.792284966, acc_z: -0.804451764, rot_x: 0.053825419, …}
mqtt.js:15 6 1684347520822 {id: '6', acc_x: -23.74808693, acc_y: -9.785101891, acc_z: -0.792480767, rot_x: 0.052226644, …}
mqtt.js:15 6 1684347520823 {id: '6', acc_x: -23.76005745, acc_y: -9.792284966, acc_z: -0.797269166, rot_x: 0.05249311, …}
mqtt.js:15 6 1684347520823 {id: '6', acc_x: -23.74808693, acc_y: -9.794678688, acc_z: -0.804451764, rot_x: 0.053558957, …}
mqtt.js:15 6 1684347520823 {id: '6', acc_x: -23.75766373, acc_y: -9.780313492, acc_z: -0.799663365, rot_x: 0.055157732, …}
mqtt.js:15 6 1684347520823 {id: '6', acc_x: -23.75766373, acc_y: -9.794678688, acc_z: -0.806845963, rot_x: 0.055424199, …}
mqtt.js:15 3 1684347520824 {id: '3', acc_x: 0, acc_y: 0, acc_z: 0, rot_x: 0, …}
mqtt.js:15 3 1684347520825 {id: '3', acc_x: 0, acc_y: 0, acc_z: 0, rot_x: 0, …}
mqtt.js:15 3 1684347520825 {id: '3', acc_x: 0, acc_y: 0, acc_z: 0, rot_x: 0, …}
mqtt.js:15 3 1684347520825 {id: '3', acc_x: 0, acc_y: 0, acc_z: 0, rot_x: 0, …}
mqtt.js:15 3 1684347520825 {id: '3', acc_x: 0, acc_y: 0, acc_z: 0, rot_x: 0, …}
mqtt.js:15 3 1684347520825 {id: '3', acc_x: 0, acc_y: 0, acc_z: 0, rot_x: 0, …}
mqtt.js:15 6 1684347521140 {id: '6', acc_x: -23.76724052, acc_y: -9.804255486, acc_z: -0.811634362, rot_x: 0.05595712, …}
mqtt.js:15 6 1684347521141 {id: '6', acc_x: -23.7648468, acc_y: -9.794678688, acc_z: -0.806845963, rot_x: 0.05595712, …}
mqtt.js:15 6 1684347521141 {id: '6', acc_x: -23.75287437, acc_y: -9.792284966, acc_z: -0.794874966, rot_x: 0.054624807, …}
mqtt.js:15 6 1684347521141 {id: '6', acc_x: -23.76724052, acc_y: -9.813833237, acc_z: -0.804451764, rot_x: 0.053026035, …}
mqtt.js:15 6 1684347521141 {id: '6', acc_x: -23.76245117, acc_y: -9.804255486, acc_z: -0.804451764, rot_x: 0.050894335, …}
mqtt.js:15 6 1684347521141 {id: '6', acc_x: -23.76724052, acc_y: -9.792284966, acc_z: -0.809240162, rot_x: 0.051160797, …}
mqtt.js:15 3 1684347521141 {id: '3', acc_x: 0, acc_y: 0, acc_z: 0, rot_x: 0, …}
mqtt.js:15 3 1684347521141 {id: '3', acc_x: 0, acc_y: 0, acc_z: 0, rot_x: 0, …}
mqtt.js:15 3 1684347521141 {id: '3', acc_x: 0, acc_y: 0, acc_z: 0, rot_x: 0, …}
mqtt.js:15 3 1684347521144 {id: '3', acc_x: 0, acc_y: 0, acc_z: 0, rot_x: 0, …}
mqtt.js:15 3 1684347521144 {id: '3', acc_x: 0, acc_y: 0, acc_z: 0, rot_x: 0, …}
